Title,Channel,Date,Description,Length,Views,Likes,Comments
Alcoholics Anonymous vs Other Treatments,Healthcare Triage,2021-08-13T23:02:12Z,"Alcoholics Anonymous has long been a treatment for alcoholism, and many, many addiction experts and people in recovery swear by the 12 step process. But what does the research show? How does AA stack up against other treatments for alcohol abuse disorder. There have been several high quality studies in recent years, and in this video Aaron will explain what they mean.

Related HCT episodes:
Alzheimer's, Adulhelm, and the FDA: https://youtu.be/URiB0lbdFwU

Be sure to check out our podcast! 
https://www.youtube.com/playlist?list=PLkfBg8ML-gInFaYyYhKLBp2u7h5IojTw4

Other Healthcare Triage Links:
1. Support the channel on Patreon: http://vid.io/xqXr 
2. Check out our Facebook page: http://goo.gl/LnOq5z
3. We still have merchandise available at http://www.hctmerch.com
4. Aaron's book ""The Bad Food Bible: How and Why to Eat Sinfully"" is available wherever books are sold, such as Amazon: http://amzn.to/2hGvhKw
 
Credits:
Aaron Carroll -- Writer
Meredith Danko – Social Media
Tiffany Doherty -- Writer and Script Editor
John Green -- Executive Producer
Stan Muller -- Director, Producer
Mark Olsen – Art Director, Producer

#healthcaretriage #alcohol #alcoholicsanonymous",PT4M57S,22874,1289,359
Alcoholics Anonymous and the Deflation of the Ego by Dr. Bob Weathers,CalSouthern PSYCHOLOGY,2013-04-12T18:28:25Z,"Integrates the presenter's personal visit to an Alcoholics Anonymous meeting with the core philosophy of treatment within the 12-step program; namely, that the underlying source of all addictive behaviors is identification with the personal ego.  Hence, treatment is focused toward dismantling the previous identification; upon which the goal of remission of addictive behaviors follows quite organically.

A highly regarded educator and university administrator, as well as recovery coach, author, and public speaker, Dr. Bob Weathers holds a Ph.D. in clinical psychology, with an M.A. in religious studies. Over the course of his professional career, “Dr. Bob” has provided tens of thousands of hours of therapeutic counseling and recovery coaching to satisfied clients. He has also committed the past 35 years to teaching, training, and inspiring graduate-level mental health providers at several southern California universities, most recently at California Southern University. 

Dr. Bob is currently academic effectiveness coordinator at CalSouthern, engaged full-time in ongoing initiatives for improving the educational experience of our learners, including his chairing the brand-new Student Advisory Council. Additionally, Dr. Bob has published numerous articles in a broad cross-section of respected professional reference books, journals, and edited volumes. To learn more about the speaker, visit: http://www.drbobweathers.com

For more information on the School of Behavioral Sciences at California Southern University, please visit: http://www.calsouthern.edu/psychology",PT5M34S,24709,224,200
Understanding Alcoholics Anonymous (AA) and 12 Step Programs for Recovery,Counselor Carl,2020-06-30T18:11:30Z,"Counselor Carl (http://serenityonlinetherapy.com) explains what Alcoholics Anonymous and 12 Step programs are and how they came to be. He describes what happens in a meeting, what the rules are, and what the different kinds of meetings are. He also explains why the program is “spiritual” but not “religious,” which is a confusing distinction for many people. Counselor Carl's straight-forward teaching style makes complex concepts easy to understand. Counselor Carl is a licensed, professional counselor with 23 years of clinical experience both online and face-to-face.",PT6M58S,23416,609,65
Jordan Peterson on Alcoholics Anonymous,Theo Von Clips,2021-03-30T19:54:49Z,"https://bit.ly/theovonclips

Excerpt from Dr. Jordan Peterson | TPW w/ @Theo Von 328
Full Episode: https://youtu.be/NSjEqM7USgA

Find Theo Von:
Website: https://theovon.com 
Instagram: https://instagram.com/theovon
Facebook: https://facebook.com/theovon
Facebook Group: https://facebook.com/groups/thispastweekend 
Twitter: https://twitter.com/theovon
Patreon: https://patreon.com/theovon 
YouTube: https://youtube.com/theovon

#TheoVonClips",PT4M55S,246312,5705,1552
Alcoholics Anonymous Big Book Audio Read Aloud,Tyrell Merritt,2018-02-26T21:50:29Z,,PT5H44M28S,420672,5187,879
Why Does Alcoholics Anonymous Work?,Healthcare Triage,2016-08-15T22:03:18Z,"Do Alcoholics Anonymous participants do better at abstinence than nonparticipants because they are more motivated? Or is it because of something inherent in the A.A. program?

How researchers answered these questions in a recent study offers insight into challenges of evidence-based medicine and evidence-informed policy. That's the topic of this week's Healthcare Triage.

This episode was adapted from one of Austin Frakt's Upshot columns. Links to references and further reading can be found there: http://www.nytimes.com/2015/04/07/upshot/alcoholics-anonymous-and-the-challenge-of-evidence-based-medicine.html
John Green -- Executive Producer
Stan Muller -- Director, Producer
Aaron Carroll -- Writer
Mark Olsen -- Graphics

http://www.twitter.com/aaronecarroll
http://www.twitter.com/crashcoursestan
http://www.twitter.com/johngreen
http://www.twitter.com/olsenvideo

And the housekeeping:

1) You can support Healthcare Triage on Patreon: http://vid.io/xqXr Every little bit helps make the show better!
2) Check out our Facebook page: http://goo.gl/LnOq5z
3) We still have merchandise available at http://www.hctmerch.com",PT5M28S,55368,894,400
"Brad Pitt On Alcoholics Anonymous, Staying Sober",ET Canada,2019-09-04T19:55:37Z,"After Brad Pitt opened up about his sobriety and Alcoholics Anonymous meetings, Sangita Patel and Morgan Hoffman react on “ET Canada Live”.

SUBSCRIBE to our channel:

https://www.youtube.com/user/ETCanadaOfficial

FOLLOW us here:

http://www.etcanada.com

Facebook: https://www.facebook.com/etcanada

Twitter: http://www.twitter.com/etcanada

Instagram: http://www.instagram.com/etcanada

#BradPitt #AngelinaJolie",PT3M22S,239779,1489,529
Your First AA Meeting - What to Expect When Going to Alcoholics Anonymous For The First Time,David M Recovery,2021-03-13T01:43:04Z,"Watch Next : The 12 Step Program of Alcoholics Anonymous - https://youtu.be/fwk2awT-iN8

What to expect at your first AA meeting.
As a newcomer to Alcoholics Anonymous or any other 12 step fellowship group, it can be very stressful to attend your first meeting.
In this video, I try to simplify what an AA meeting is all about, to help you understand it a bit better, and so you know what you're getting into.

Click this link if you'd like to try online therapy: https://www.online-therapy.com/?ref=204085
If you purchase services, I may get a commission. In my opinion, I still think AA is the best option. But if therapy is what helps you, all the power to it. 

#alcoholicsanonymous #aameeting
I am not a: medical professional, therapist, counselor.
Do not replace advice from your doctor, therapist, counselor, etc. with my suggestions.",PT6M21S,59437,831,247
"Alcoholics Anonymous: The Truth About AA Meetings, The 12 Steps, The Big Book, Sponsors",David M Recovery,2021-06-28T14:30:10Z,"#alcoholicsanonymous #aameeting
Alcoholics Anonymous used to have a 75% success rate for newcomers staying sober for 1 year. 
The success rate today is about 5%
What happened?
Is Alcoholics Anonymous still a good recovery method today?
Are AA meetings and the 12 Steps still relevant?

0:00 Intro
2:00 The First 100
4:10 The Problem
6:13 Modern Meetings
7:40 We Do Recover
9:22 Conclusion

Click this link if you'd like to try online therapy: https://www.online-therapy.com/?ref=204085
If you purchase services, I may get a commission. In my opinion, I still think AA is the best option. But if therapy is what helps you, all the power to it. 

This video is under Fair Use:
Copyright Disclaimer Under Section 107 of the Copyright Act in 1976; Allowance is made for ""Fair Use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research.
Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use.

All rights and credit go directly to its rightful owners. No copyright infringement intended.",PT10M18S,29168,1111,362
Interview :Hafiz Muhammad (Alcoholics Anonymous) Campaign against alcoholism,asianetnews,2013-09-26T07:19:42Z,Campaign against alcoholism : Asianet News Kudiyalla Jeevitham campaign,PT20M44S,5026,83,1
